timestamp,cpu_usage,memory_usage,load_capacity,error_rate,throughput,is_holiday
2025-01-01 00:00:00,40.66,31.35,0.4,0.18,981,0
2025-01-01 01:00:00,47.16,32.21,0.22,4.04,736,0
2025-01-01 02:00:00,88.4,78.33,0.18,2.18,1393,0
2025-01-01 03:00:00,29.03,69.94,0.68,0.35,111,0
2025-01-01 04:00:00,93.76,30.1,0.9,3.03,1092,0
2025-01-01 05:00:00,53.03,46.31,0.62,1.35,225,0
2025-01-01 06:00:00,36.17,66.18,0.21,4.05,631,0
2025-01-01 07:00:00,68.6,76.57,0.75,0.26,1981,0
2025-01-01 08:00:00,50.77,75.83,0.72,4.9,406,0
2025-01-01 09:00:00,90.64,67.87,0.17,0.09,1778,0
2025-01-01 10:00:00,63.98,67.17,0.39,3.3,1971,0
2025-01-01 11:00:00,34.32,36.52,0.34,4.21,1322,0
2025-01-01 12:00:00,82.67,48.55,0.46,2.14,1771,0
2025-01-01 13:00:00,43.77,88.17,0.78,0.57,1010,0
2025-01-01 14:00:00,93.6,64.74,0.13,2.85,115,0
2025-01-01 15:00:00,49.75,69.3,0.41,2.11,1095,0
2025-01-01 16:00:00,73.3,41.51,0.47,0.8,1164,0
2025-01-01 17:00:00,34.1,54.72,0.29,4.54,1726,0
2025-01-01 18:00:00,88.63,48.35,0.45,2.64,1228,0
2025-01-01 19:00:00,73.87,40.85,0.13,0.74,385,0
2025-01-01 20:00:00,79.65,31.03,0.8,4.47,1715,0
2025-01-01 21:00:00,43.78,76.0,0.62,2.62,427,0
2025-01-01 22:00:00,35.28,31.97,0.31,2.93,1764,0
2025-01-01 23:00:00,94.65,32.16,0.67,4.91,763,0
2025-01-02 00:00:00,53.08,84.76,0.73,4.26,1317,0
2025-01-02 01:00:00,21.55,75.49,0.64,3.4,1912,0
2025-01-02 02:00:00,55.83,46.46,0.51,2.99,656,0
2025-01-02 03:00:00,64.89,30.21,0.67,1.89,1789,0
2025-01-02 04:00:00,81.8,68.44,0.41,3.2,570,0
2025-01-02 05:00:00,44.37,45.03,0.83,4.4,658,0
2025-01-02 06:00:00,77.82,51.85,0.17,2.43,698,0
2025-01-02 07:00:00,84.9,47.07,0.47,0.86,1535,0
2025-01-02 08:00:00,21.75,73.71,0.7,0.84,1893,0
2025-01-02 09:00:00,27.54,75.36,0.37,2.77,613,0
2025-01-02 10:00:00,71.57,63.44,0.6,3.26,800,0
2025-01-02 11:00:00,69.76,44.77,0.92,2.52,772,0
2025-01-02 12:00:00,64.95,79.76,0.13,4.21,1908,0
2025-01-02 13:00:00,36.86,51.66,0.68,1.97,1382,0
2025-01-02 14:00:00,26.27,87.21,0.82,0.82,1065,0
2025-01-02 15:00:00,85.77,84.08,0.4,1.95,791,0
2025-01-02 16:00:00,88.63,57.42,0.73,0.73,1754,0
2025-01-02 17:00:00,61.16,40.91,0.65,2.31,158,0
2025-01-02 18:00:00,78.44,84.01,0.29,3.88,1204,0
2025-01-02 19:00:00,80.73,58.08,0.12,3.63,567,0
2025-01-02 20:00:00,49.59,66.95,0.47,3.91,1213,0
2025-01-02 21:00:00,53.41,62.98,0.2,3.45,490,0
2025-01-02 22:00:00,37.31,88.16,0.99,3.78,722,0
